Date,Visitor,visitor_goals,Home,home_goals,goals_difference
10/12/2021,Pittsburgh Penguins,6,Tampa Bay Lightning,2,
10/12/2021,Seattle Kraken,3,Vegas Golden Knights,4,
10/13/2021,Winnipeg Jets,1,Anaheim Ducks,4,
10/13/2021,Chicago Blackhawks,2,Colorado Avalanche,4,
10/13/2021,Vancouver Canucks,2,Edmonton Oilers,3,
10/13/2021,Montreal Canadiens,1,Toronto Maple Leafs,2,
10/13/2021,New York Rangers,1,Washington Capitals,5,
10/14/2021,Montreal Canadiens,1,Buffalo Sabres,5,
10/14/2021,New York Islanders,3,Carolina Hurricanes,6,
10/14/2021,Arizona Coyotes,2,Columbus Blue Jackets,8,
10/14/2021,Tampa Bay Lightning,7,Detroit Red Wings,6,
10/14/2021,Pittsburgh Penguins,4,Florida Panthers,5,
10/14/2021,Vegas Golden Knights,2,Los Angeles Kings,6,
10/14/2021,Seattle Kraken,4,Nashville Predators,3,
10/14/2021,Dallas Stars,3,New York Rangers,2,
10/14/2021,Toronto Maple Leafs,2,Ottawa Senators,3,
10/15/2021,Minnesota Wild,2,Anaheim Ducks,1,
10/15/2021,Chicago Blackhawks,3,New Jersey Devils,4,
10/15/2021,Vancouver Canucks,5,Philadelphia Flyers,4,
10/16/2021,Dallas Stars,1,Boston Bruins,3,
10/16/2021,Arizona Coyotes,1,Buffalo Sabres,2,
10/16/2021,Seattle Kraken,1,Columbus Blue Jackets,2,
10/16/2021,St. Louis Blues,5,Colorado Avalanche,3,
10/16/2021,Vancouver Canucks,1,Detroit Red Wings,3,
10/16/2021,Calgary Flames,2,Edmonton Oilers,5,
10/16/2021,New York Islanders,1,Florida Panthers,5,
10/16/2021,Minnesota Wild,3,Los Angeles Kings,2,
10/16/2021,New York Rangers,3,Montreal Canadiens,1,
10/16/2021,Carolina Hurricanes,3,Nashville Predators,2,
10/16/2021,Chicago Blackhawks,2,Pittsburgh Penguins,5,
10/16/2021,Winnipeg Jets,3,San Jose Sharks,4,
10/16/2021,Ottawa Senators,1,Toronto Maple Leafs,3,
10/16/2021,Tampa Bay Lightning,2,Washington Capitals,1,
10/17/2021,Dallas Stars,2,Ottawa Senators,3,
10/18/2021,St. Louis Blues,7,Arizona Coyotes,4,
10/18/2021,Anaheim Ducks,3,Calgary Flames,2,
10/18/2021,Seattle Kraken,1,Philadelphia Flyers,6,
10/18/2021,New York Rangers,2,Toronto Maple Leafs,1,
10/19/2021,Vancouver Canucks,2,Buffalo Sabres,5,
10/19/2021,New York Islanders,4,Chicago Blackhawks,1,
10/19/2021,Columbus Blue Jackets,1,Detroit Red Wings,4,
10/19/2021,Anaheim Ducks,5,Edmonton Oilers,6,
10/19/2021,Winnipeg Jets,5,Minnesota Wild,6,
10/19/2021,San Jose Sharks,5,Montreal Canadiens,0,
10/19/2021,Seattle Kraken,2,New Jersey Devils,4,
10/19/2021,Los Angeles Kings,1,Nashville Predators,2,
10/19/2021,Dallas Stars,2,Pittsburgh Penguins,1,
10/19/2021,Florida Panthers,4,Tampa Bay Lightning,1,
10/19/2021,Colorado Avalanche,3,Washington Capitals,6,
10/20/2021,Boston Bruins,3,Philadelphia Flyers,6,
10/20/2021,St. Louis Blues,3,Vegas Golden Knights,1,
10/21/2021,Edmonton Oilers,5,Arizona Coyotes,1,
10/21/2021,New York Islanders,2,Columbus Blue Jackets,3,
10/21/2021,Vancouver Canucks,4,Chicago Blackhawks,1,
10/21/2021,Calgary Flames,3,Detroit Red Wings,0,
10/21/2021,Colorado Avalanche,1,Florida Panthers,4,
10/21/2021,Carolina Hurricanes,4,Montreal Canadiens,1,
10/21/2021,Washington Capitals,4,New Jersey Devils,1,
10/21/2021,New York Rangers,3,Nashville Predators,1,
10/21/2021,San Jose Sharks,2,Ottawa Senators,1,
10/21/2021,Anaheim Ducks,1,Winnipeg Jets,5,
10/22/2021,Boston Bruins,4,Buffalo Sabres,1,
10/22/2021,Los Angeles Kings,2,Dallas Stars,3,
10/22/2021,San Jose Sharks,5,Toronto Maple Leafs,3,
10/22/2021,Edmonton Oilers,5,Vegas Golden Knights,3,
10/23/2021,New York Islanders,3,Arizona Coyotes,0,
10/23/2021,Carolina Hurricanes,5,Columbus Blue Jackets,1,
10/23/2021,Anaheim Ducks,3,Minnesota Wild,4,
10/23/2021,Detroit Red Wings,1,Montreal Canadiens,6,
10/23/2021,Buffalo Sabres,1,New Jersey Devils,2,
10/23/2021,New York Rangers,3,Ottawa Senators,2,
10/23/2021,Florida Panthers,4,Philadelphia Flyers,2,
10/23/2021,Toronto Maple Leafs,1,Pittsburgh Penguins,7,
10/23/2021,Vancouver Canucks,4,Seattle Kraken,2,
10/23/2021,Los Angeles Kings,3,St. Louis Blues,7,
